Machine id,Region,Created at,Time to start,Time to respond
4d891364b699d8,jnb,1699888967000,18999,56895
3287423ec07768,jnb,1699888967000,17786,58482
6e82d697c71178,jnb,1699888967000,16246,62503
5683d597c73348,jnb,1699889912000,5617,20944
148ed047c75508,jnb,1699889912000,8522,18489
3d8d923eb21138,jnb,1699889912000,12593,18478
4d891362f4ee78,jnb,1699890646000,3796,14352
91857490a40098,jnb,1699890646000,3709,16346
e2865903bedd08,jnb,1699890646000,4716,16344
e784e196a4ee08,jnb,1699891505000,2889,6412
9080e354a15048,jnb,1699891506000,1570,8412
3287423da63398,jnb,1699891505000,2092,10418
3d8d9231ae6668,jnb,1699892479000,3365,22402
17811e97b93368,jnb,1699892479000,3487,26411
4d891364b4ddd8,jnb,1699892481000,2082,28410
3287423ec62268,jnb,1699893314000,5264,2791
e784e197c477e8,jnb,1699893314000,6098,4335
5683d594ad1678,jnb,1699893314000,6900,40383
3287423ec62068,jnb,1699894332000,8857,24359
6e82d697c09778,jnb,1699894332000,8580,28359
9080e354a15248,jnb,1699894332000,5980,36369
e2865901f79598,jnb,1699895243000,4069,6667
148ed046a31038,jnb,1699895243000,4627,6627
9080e357c14108,jnb,1699895243000,5148,64397
3287423da64518,jnb,1700129175000,2111,31010
9080e354a12338,jnb,1700129176000,2434,32363
e784e196a46168,jnb,1700129175000,4832,32364
9080e357c11178,jnb,1700130974000,2591,22359
3d8d923eb297e8,jnb,1700130973000,2244,30362
17811e90f50d78,jnb,1700130971000,2235,36370
e2865901f74318,jnb,1700132796000,2287,4425
9080e357c11078,jnb,1700132796000,3409,8347
e784e197c44d98,jnb,1700132795000,357,20357
e784e197c44198,jnb,1700145437000,5745,36693
9080e357c11378,jnb,1700145438000,5294,38376
3287423ec665d8,jnb,1700145437000,8672,52710
91857490a11328,jnb,1700147177000,3645,36371
17811e97b55d28,jnb,1700147177000,4036,36368
e2865903b77078,jnb,1700147177000,2833,38700
91857495b15008,jnb,1700149036000,2562,8339
4d891364b44758,jnb,1700149035000,3337,10344
